id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
1,SRK0001GS,Kayu Batu,Eusideroxylon zwageri,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,40,14,13,Mineral,-,-0.0387557,101.404770700000,"147,861094","0,035",-,-,-,Fahrizal,9/28/2021 14:57,200000,2398.88,-,"Chave et al, 2014",media/SRK_3_1.jpg,media/SRK_2_1.jpg,media/SRK_1_1.jpg,media/SRK_4_1.jpg
2,SRK0002GS,Sendok Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50,15,13,Mineral,-,-0.0386325,101.404566400000,"52,10017904","0,035",-,-,-,Effendi,9/29/2021 8:05,200000,1701.56,-,"Chave et al, 2014",media/SRK_3_2.jpg,media/SRK_2_2.jpg,media/SRK_1_2.jpg,media/SRK_4_2.jpg
3,SRK0003GS,Sendok Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,17,13,Mineral,-,-0.0385649,101.404714400000,"53,76889647","0,035",-,-,-,Hermes,9/29/2021 8:13,200000,1243.75,-,"Chave et al, 2014",media/SRK_3_3.jpg,media/SRK_2_3.jpg,media/SRK_1_3.jpg,media/SRK_4_3.jpg
4,SRK0004GS,Medang,Alseodaphne sp,Pohon Muda,icon/young_tree.svg,Vulnerable,20,10,13,Mineral,-,-0.03866,101.404726700000,"62,56588904","0,035",-,-,-,Effendi,9/29/2021 8:23,50000,306.17,-,"Chave et al, 2014",media/SRK_3_4.jpg,media/SRK_2_4.jpg,media/SRK_1_4.jpg,media/SRK_4_4.jpg
5,SRK0005GS,Simpur,Dillenia spp,Pohon Muda,icon/young_tree.svg,Least Concern,31,15,13,Mineral,-,-0.038541,101.4047466,"67,15302862","0,035",-,-,-,Hermes,9/29/2021 8:29,50000,1170.32,-,"Chave et al, 2014",media/SRK_3_5.jpg,media/SRK_2_5.jpg,media/SRK_1_5.jpg,media/SRK_4_5.jpg
6,SRK0006GS,Petatal,ochanostachys amentacea,Pohon Muda,icon/young_tree.svg,Data deficent,20,9,13,Mineral,-,-0.0385102,101.404777400000,"71,89708611","0,035",-,-,-,Effendi,9/29/2021 8:35,50000,385.26,-,"Chave et al, 2014",media/SRK_3_6.jpg,media/SRK_2_6.jpg,media/SRK_1_6.jpg,media/SRK_4_6.jpg
7,SRK0007GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,35,12,13,Mineral,-,-0.0385336,101.404844900000,"76,31570556","0,036",-,-,-,Hermes,9/29/2021 8:42,50000,715.37,-,"Chave et al, 2014",media/SRK_3_7.jpg,media/SRK_2_7.jpg,media/SRK_1_7.jpg,media/SRK_4_7.jpg
8,SRK0008GS,Meranti,Shorea sp,Pohon Dewasa,icon/mature_tree.svg,-,50,15,13,Mineral,-,-0.0387782,101.405000000000,"37,0167738","0,036",-,-,-,Effendi,9/29/2021 8:48,200000,2760.30,-,"Chave et al, 2014",media/SRK_3_8.jpg,media/SRK_2_8.jpg,media/SRK_1_8.jpg,media/SRK_4_8.jpg
9,SRK0009GS,Sendok Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,43,17,13,Mineral,-,-0.0389147,101.404885000000,"70,602647","0,035",-,-,-,Hermes,9/29/2021 8:57,200000,1432.32,-,"Chave et al, 2014",media/SRK_3_9.jpg,media/SRK_2_9.jpg,media/SRK_1_9.jpg,media/SRK_4_9.jpg
10,SRK0010GS,Jambu Jambu,Eugenia spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,86,20,13,Mineral,-,-0.0384548,101.404589200000,"217,4457017","0,035",-,-,-,Effendi,9/29/2021 9:03,200000,12772.87,-,"Chave et al, 2014",media/SRK_3_10.jpg,media/SRK_2_10.jpg,media/SRK_1_10.jpg,media/SRK_4_10.jpg
